invoice_id,date,vendor,amount,description,category,approved_by
INV-1269,2024-09-18,Cascade Digital Systems,6092.38,Employee benefits consulting — open enrollment,CONSULTING,M.Chen
INV-1383,2024-09-07,Meridian Legal Partners LLP,10069.67,SharePoint migration — intranet modernization,LEGAL,M.Chen
INV-1716,2024-08-11,Titan Security Services,49995.0,Q1 consulting services — enterprise architecture,SECURITY,J.Harrison
INV-1712,2024-10-26,Summit Financial Advisors,24995.0,Catering services — quarterly board meeting,FINANCE,J.Harrison
INV-1414,2024-11-25,Delta Freight Services LLC,3233.9,Temporary staffing — operations peak period,LOGISTICS,R.Novak
INV-1225,2024-09-05,Meridian Legal Partners LLP,5206.69,Freight and logistics — bulk shipment handling,LEGAL,A.Reeves
INV-1141,2024-12-08,Blue Ridge Analytics Group,9207.57,Executive coaching program — leadership team,CONSULTING,A.Reeves
INV-1642,2024-09-21,Summit Financial Advisors,25801.12,Freight and logistics — bulk shipment handling,FINANCE,J.Harrison
INV-1472,2024-05-30,Titan Security Services,4576.74,Network infrastructure upgrade phase 2,SECURITY,J.Harrison
INV-1305,2024-08-31,Avalon Research Associates,17721.02,Employee benefits consulting — open enrollment,CONSULTING,A.Reeves
INV-1542,2024-02-19,Frontier Logistics Partners,1245.9,Employee benefits consulting — open enrollment,LOGISTICS,L.Torres
INV-1416,2024-07-11,Summit Financial Advisors,14026.66,Legal due diligence — acquisition target review,FINANCE,M.Chen
INV-1011,2024-05-26,Blue Ridge Analytics Group,7971.85,IT helpdesk and L2 support services,CONSULTING,M.Chen
INV-1687,2024-10-16,Ironwood Engineering Corp,5000.0,Structural engineering assessment — building A,OPERATIONS,L.Torres
INV-1427,2024-12-06,Eagle Eye Security Systems,1327.57,Environmental compliance consulting services,OPERATIONS,A.Reeves
INV-1543,2024-11-03,Redrock Data Solutions,7667.98,Market research and competitive landscape analysis,IT,A.Reeves
INV-1313,2024-05-03,Delta Freight Services LLC,1075.59,Consulting — no further details,LOGISTICS,J.Harrison
INV-1144,2024-02-09,Summit Financial Advisors,29458.36,Translation and localization services — APAC,FINANCE,D.Okafor
INV-1174,2024-10-18,Cascade Digital Systems,4455.56,Security camera installation — warehouse expansion,IT,J.Harrison
INV-1632,2024-01-14,Elmwood Graphics Studio,2048.48,Cloud hosting — production environment monthly,MARKETING,M.Chen
INV-1278,2024-04-24,Harbor Light Consulting,10092.39,,CONSULTING,M.Chen
INV-1369,2024-09-03,Yellowstone Equipment Rental,3580.35,Executive coaching program — leadership team,OPERATIONS,S.Patel
INV-1667,2024-09-22,Meridian Legal Partners,5790.5,Network infrastructure upgrade phase 2,LEGAL,S.Patel
INV-1123,2024-02-20,Ironwood Engineering Corp,12192.88,Market research and competitive landscape analysis,OPERATIONS,R.Novak
INV-1006,2024-05-13,Horizon Training Solutions,2132.48,Legal due diligence — acquisition target review,CONSULTING,A.Reeves
INV-1331,2024-01-25,Unity Healthcare Partners,7252.34,Brand identity redesign — new product line,CONSULTING,A.Reeves
INV-1402,2024-11-09,Frontier Logistics Partners,3399.7,Staff compliance certification training,LEGAL,L.Torres
INV-1216,2024-05-03,Elmwood Graphics Studio,7437.04,Legal retainer — contract review and advisory,SUPPLIES,S.Patel
INV-1527,2024-07-26,Horizon Training Solutions,5051.18,SharePoint migration — intranet modernization,CONSULTING,S.Patel
INV-1606,2024-06-01,Apex Technology Solutions,5431.49,Print and marketing collateral production,IT,R.Novak
INV-1201,2024-05-22,Blue Ridge Analytics Group,45203.58,Corporate travel management — Q1 booking fees,CONSULTING,R.Novak
INV-1462,2024-01-17,Lakeview Office Supplies Co,607.13,Tax planning and financial advisory services,SUPPLIES,L.Torres
INV-1320,2024-09-29,Apex Technology Solutions,16795.41,Equipment lease payment — fiscal Q3,IT,R.Novak
INV-1417,2024-06-20,Eagle Eye Security Systems,2459.13,Inventory management system — annual license,SECURITY,S.Patel
INV-1714,2024-07-25,Vanguard Analytics Inc,24985.0,Catering services — quarterly board meeting,IT,J.Harrison
INV-1473,2024-12-24,Summit Financial Advisors,29849.78,Correction — prior period,FINANCE,S.Patel
INV-1512,2024-06-29,Cascade Digital Systems,18056.03,Consulting — no further details,IT,S.Patel
INV-1218,2024-11-20,Elmwood Graphics Studio,2385.15,Emergency procurement,MARKETING,A.Reeves
INV-1535,2024-05-27,Apex Technology Solutions,8585.1,SharePoint migration — intranet modernization,IT,J.Harrison
INV-1002,2024-04-22,Summit Financial Advisors,29259.19,Annual maintenance and support contract renewal,FINANCE,S.Patel
INV-1054,2024-09-29,Cascade Digital Systems,20469.53,Equipment lease payment — fiscal Q3,SECURITY,J.Harrison
INV-1435,2024-09-24,Summit Financial Advisors,53726.06,Translation and localization services — APAC,FINANCE,M.Chen
INV-1725,2024-10-01,JJ Consulting LLC,13261.52,Personal expense reimbursement,CONSULTING,S.Patel
INV-1509,2024-05-09,Vanguard Analytics Inc,4575.06,Print and marketing collateral production,IT,L.Torres
INV-1273,2024-02-12,Lakeview Office Supplies Co,378.5,Software development sprint 18 — backend API,SUPPLIES,D.Okafor
INV-1475,2024-06-10,Meridian Legal Partners LLP,5199.35,Cybersecurity monitoring — 24/7 SOC retainer,LEGAL,D.Okafor
INV-1234,2024-01-25,Meridian Legal Partners LLP,19021.25,Legal due diligence — acquisition target review,LEGAL,M.Chen
INV-1659,2024-09-29,Frontierr Logistics Partners,1945.1,Staff compliance certification training,LOGISTICS,M.Chen
INV-1205,2024-03-15,Harbor Light Consulting,5913.85,Digital marketing campaign Q2 execution,CONSULTING,D.Okafor
INV-1003,2024-12-01,Lakeview Office Supplies Co,734.89,Advertising placement — industry trade publication,SECURITY,M.Chen
INV-1756,2024-09-27,Summit Financial Advisors,96080.12,Legal filing fees and court documentation costs,FINANCE,M.Chen
INV-1405,2024-10-24,Northpoint Marketing Agency,1885.86,Equipment lease payment — fiscal Q3,MARKETING,J.Harrison
INV-1137,2024-06-09,Frontier Logistics Partners,1213.76,Financial audit preparation and documentation support,LOGISTICS,J.Harrison
INV-1592,2024-03-08,Vanguard Analytics Inc,9142.51,Catering services — quarterly board meeting,IT,S.Patel
INV-1663,2024-08-22,Summit Financial Advisory,18383.36,Digital marketing campaign Q2 execution,FINANCE,L.Torres
INV-1211,2024-10-15,Eagle Eye Security Systems,11385.18,Executive coaching program — leadership team,SECURITY,J.Harrison
INV-1220,2024-08-26,Meridian Legal Partners LLP,5365.02,Catering services — quarterly board meeting,LEGAL,L.Torres
INV-1199,2024-02-21,Elmwood Graphics Studio,5706.43,Legal filing fees and court documentation costs,MARKETING,S.Patel
INV-1499,2024-01-11,Delta Freight Services LLC,2484.1,Software development sprint 18 — backend API,SUPPLIES,S.Patel
INV-1724,2024-05-19,JJ Consulting LLC,30144.24,Cash advance — project expenses,CONSULTING,S.Patel
INV-1597,2024-04-04,Apex Technology Solutions,10652.8,Cloud hosting — production environment monthly,IT,S.Patel
INV-1636,2024-05-23,Harbor Light Consulting,9210.52,Monthly software license renewal,CONSULTING,A.Reeves
INV-1116,2024-07-25,Cascade Digital Systems,16348.28,Annual maintenance and support contract renewal,IT,A.Reeves
INV-1480,2024-01-16,Apex Technology Solutions,43993.23,Structural engineering assessment — building A,LOGISTICS,M.Chen
INV-1384,2024-01-24,Ironwood Engineering Corp,8248.92,Tax planning and financial advisory services,OPERATIONS,A.Reeves
INV-1092,2024-04-05,Blue Ridge Analytics Group,16617.18,Software development sprint 18 — backend API,CONSULTING,M.Chen
INV-1491,2024-04-13,Summit Financial Advisors,29884.0,IT helpdesk and L2 support services,FINANCE,L.Torres
INV-1651,2024-08-03,Apex Technology Solution,5755.26,Q1 consulting services — enterprise architecture,IT,R.Novak
INV-1540,2024-04-26,Apex Technology Solutions,10719.99,Emergency procurement,IT,R.Novak
INV-1588,2024-09-01,Summit Financial Advisors,14914.82,Miscellaneous expenses,FINANCE,L.Torres
INV-1036,2024-05-07,Sterling Law Group,11384.44,Market research and competitive landscape analysis,LEGAL,D.Okafor
INV-1231,2024-02-07,Redrock Data Solutions,20841.16,Catering services — quarterly board meeting,IT,M.Chen
INV-1167,2024-09-30,Blue Ridge Analytics Group,24243.28,Annual maintenance and support contract renewal,CONSULTING,S.Patel
INV-1494,2024-06-29,Vanguard Analytics Inc,3157.83,Database migration and cloud uplift services,IT,R.Novak
INV-1566,2024-06-19,Sunrise Fleet Management,756.11,Industry conference attendance — professional development,LOGISTICS,L.Torres
INV-1428,2024-02-29,Apex Technology Solutions,8088.68,Advertising placement — industry trade publication,FACILITIES,D.Okafor
INV-1214,2024-04-26,Apex Technology Solutions,34939.78,Payroll processing services — monthly retainer,IT,A.Reeves
INV-1338,2024-10-26,Yellowstone Equipment Rental,2433.43,Equipment lease payment — fiscal Q3,OPERATIONS,M.Chen
INV-1213,2024-09-04,Quantum Cloud Infrastructure,5989.05,Legal due diligence — acquisition target review,IT,D.Okafor
INV-1195,2024-01-07,Crestview Supplies Ltd,939.75,Annual maintenance and support contract renewal,SUPPLIES,S.Patel
INV-1154,2024-07-16,Delta Freight Services LLC,2492.2,SharePoint migration — intranet modernization,LOGISTICS,D.Okafor
INV-1039,2024-03-27,Pacific Rim Staffing,8325.14,Employee benefits consulting — open enrollment,FACILITIES,M.Chen
INV-1061,2024-07-12,Vanguard Analytics Inc,45000,Catering services — quarterly board meeting,IT,L.Torres
INV-1026,2024-11-11,Sterling Law Group,4667.59,Corporate travel management — Q1 booking fees,SECURITY,S.Patel
INV-1117,2024-08-29,Harbor Light Consulting,22367.29,Digital marketing campaign Q2 execution,CONSULTING,J.Harrison
INV-1188,2024-01-04,Sterling Law Group,3503.48,Temporary staffing — operations peak period,LEGAL,D.Okafor
INV-1342,2024-12-25,Delta Freight Services LLC,2361.19,Digital marketing campaign Q2 execution,IT,L.Torres
INV-1495,2024-06-20,Ironwood Engineering Corp,4865.9,Copier and printer lease — main office,OPERATIONS,L.Torres
INV-1699,2024-06-08,Eagle Eye Security Systems,100000.0,Digital marketing campaign Q2 execution,SECURITY,M.Chen
INV-1001,2024-05-16,Ironwood Engineering Corp,11932.12,Executive search — VP of Engineering placement,OPERATIONS,L.Torres
INV-1408,2024-01-04,Sunrise Fleet Management,2600.07,Copier and printer lease — main office,CONSULTING,R.Novak
INV-1665,2024-01-21,Meridian Legal Partners,31158.29,Staff compliance certification training,LEGAL,A.Reeves
INV-1330,2024-06-03,Summit Financial Advisors,31312.59,Print and marketing collateral production,FINANCE,M.Chen
INV-1202,2024-10-10,Meridian Legal Partners LLP,5634.94,Copier and printer lease — main office,FACILITIES,M.Chen
INV-1620,2024-02-02,Cascade Digital Systems,10044.78,Q1 consulting services — enterprise architecture,IT,R.Novak
INV-1568,2024-06-26,Avalon Research Associates,11771.2,Emergency procurement,CONSULTING,S.Patel
INV-1192,2024-10-07,Blue Ridge Analytics Group,25375.62,Executive coaching program — leadership team,CONSULTING,A.Reeves
INV-1555,2024-04-08,Lakeview Office Supplies Co,630.96,Executive coaching program — leadership team,SUPPLIES,S.Patel
INV-1457,2024-03-05,Unity Healthcare Partners,7853.57,Correction — prior period,SECURITY,D.Okafor
INV-1271,2024-04-25,Meridian Legal Partners LLP,18377.82,Annual security audit and penetration testing,FINANCE,S.Patel
INV-1016,2024-11-13,Crestview Supplies Ltd,699.09,Staff compliance certification training,SUPPLIES,J.Harrison
INV-1546,2024-05-04,Delta Freight Services LLC,4407.69,Firewall replacement and network segmentation,LOGISTICS,L.Torres
INV-1291,2024-01-11,Oakwood Facilities Mgmt,6035.94,Cloud hosting — production environment monthly,FACILITIES,J.Harrison
INV-1390,2024-10-05,Delta Freight Services LLC,2246.32,Legal filing fees and court documentation costs,LOGISTICS,M.Chen
INV-1536,2024-09-20,Westbrook Print & Media,819.1,Executive search — VP of Engineering placement,CONSULTING,L.Torres
INV-1452,2024-06-23,Apex Technology Solutions,35817.58,Corporate travel management — Q1 booking fees,IT,L.Torres
INV-1719,2024-05-22,Cascade Digital Systems,999.0,Industry conference attendance — professional development,IT,A.Reeves
INV-1455,2024-02-01,Yellowstone Equipment Rental,6010.66,Facilities management — HVAC preventive maintenance,OPERATIONS,M.Chen
INV-1268,2024-08-10,Lakeview Office Supplies Co,1156.95,Firewall replacement and network segmentation,SUPPLIES,A.Reeves
INV-1226,2024-01-24,Quantum Cloud Infrastructure,11133.99,Office supplies and stationery restock,IT,S.Patel
INV-1360,2024-05-20,Horizon Training Solutions,1555.32,Temporary staffing — operations peak period,CONSULTING,D.Okafor
INV-1486,2024-07-01,Cascade Digital Systems,5993.47,Temporary staffing — operations peak period,IT,D.Okafor
INV-1551,2024-05-10,Ridgeline Catering Co,832.31,Software development sprint 18 — backend API,FACILITIES,A.Reeves
INV-1309,2024-10-27,Ridgeline Catering Co,1551.55,Data analytics platform subscription renewal,FACILITIES,R.Novak
INV-1373,2024-10-10,Harbor Light Consulting,58465.53,Advertising placement — industry trade publication,CONSULTING,L.Torres
INV-1126,2024-04-22,Westbrook Print & Media,1587.8,Annual maintenance and support contract renewal,MARKETING,R.Novak
INV-1403,2024-10-13,Summit Financial Advisors,11795.72,HR consulting — executive recruitment cycle,FINANCE,R.Novak
INV-1619,2024-07-25,Apex Technology Solutions,16369.22,Legal due diligence — acquisition target review,IT,R.Novak
INV-1222,2024-08-30,Meridian Legal Partners LLP,5418.88,Cybersecurity monitoring — 24/7 SOC retainer,MARKETING,A.Reeves
INV-1578,2024-11-24,Unity Healthcare Partners,3011.69,Network infrastructure upgrade phase 2,CONSULTING,A.Reeves
INV-1702,2024-07-09,Ironwood Engineering Corp,2500.0,Structural engineering assessment — building A,OPERATIONS,R.Novak
INV-1688,2024-01-14,Apex Technology Solutions,5000.0,Network infrastructure upgrade phase 2,IT,L.Torres
INV-1409,2024-09-15,Blue Ridge Analytics Group,7420.93,Per prior agreement,CONSULTING,L.Torres
INV-1125,2024-07-15,Unity Healthcare Partners,10867.71,Office supplies and stationery restock,CONSULTING,J.Harrison
INV-1673-01,2024-10-06,Ironwood Engineering Corp,49548.36,Partial payment 1/3 — project milestone,OPERATIONS,A.Reeves
INV-1020,2024-08-03,Westbrook Print & Media,3063.76,Security camera installation — warehouse expansion,MARKETING,L.Torres
INV-1424,2024-10-18,Summit Financial Advisors,11077.4,See attached documentation,FINANCE,M.Chen
INV-1633,2024-11-07,Meridian Legal Partners LLP,4969.37,Equipment lease payment — fiscal Q3,SUPPLIES,M.Chen
INV-1558,2024-12-27,Meridian Legal Partners LLP,9568.66,Corporate travel management — Q1 booking fees,LEGAL,D.Okafor
INV-1294,2024-02-07,Ironwood Engineering Corp,8527.99,Financial audit preparation and documentation support,LEGAL,R.Novak
INV-1643,2024-07-11,Ironwood Engineering Corp,6561.75,Q1 consulting services — enterprise architecture,OPERATIONS,M.Chen
INV-1630,2024-05-11,Ridgeline Catering Co,954.93,Benefits administration platform — annual fee,FACILITIES,M.Chen
INV-1478,2024-07-25,Apex Technology Solutions,13142.02,Inventory management system — annual license,IT,M.Chen
INV-1327,2024-08-23,Elmwood Graphics Studio,1780.05,Misc,MARKETING,J.Harrison
INV-1050,2024-04-30,Oakwood Facilities Mgmt,5385.21,Freight and logistics — bulk shipment handling,FACILITIES,D.Okafor
INV-1097,2024-05-16,Frontier Logistics Partners,2701.72,Facilities management — HVAC preventive maintenance,SUPPLIES,A.Reeves
INV-1173,2024-09-16,Eagle Eye Security Systems,6904.19,Executive search — VP of Engineering placement,SECURITY,A.Reeves
INV-1236,2024-05-03,Crestview Supplies Ltd,1285.25,Financial audit preparation and documentation support,SUPPLIES,M.Chen
INV-1420,2024-04-09,Quantum Cloud Infrastructure,2003.49,Firewall replacement and network segmentation,IT,R.Novak
INV-1346,2024-05-22,Vanguard Analytics Inc,8793.49,Annual maintenance and support contract renewal,IT,L.Torres
INV-1362,2024-01-25,Summit Financial Advisors,31213.28,Security camera installation — warehouse expansion,FINANCE,M.Chen
INV-1361,2024-09-04,Unity Healthcare Partners,2884.59,Financial audit preparation and documentation support,CONSULTING,D.Okafor
INV-1364,2024-03-23,Summit Financial Advisors,14008.69,Catering services — quarterly board meeting,SUPPLIES,J.Harrison
INV-1067,2024-02-12,Northpoint Marketing Agency,2921.0,Security camera installation — warehouse expansion,MARKETING,A.Reeves
INV-1077,2024-05-21,Lakeview Office Supplies Co,1483.79,Data analytics platform subscription renewal,SUPPLIES,M.Chen
INV-1646,2024-10-21,Meridian Legal Partners LLP,16097.53,Annual security audit and penetration testing,LEGAL,M.Chen
INV-1120,2024-02-23,Apex Technology Solutions,32522.23,IT helpdesk and L2 support services,CONSULTING,J.Harrison
INV-1329,2024-10-09,Meridian Legal Partners LLP,13290.76,Executive coaching program — leadership team,SUPPLIES,L.Torres
INV-1300,2024-06-23,Blue Ridge Analytics Group,38606.08,Staff compliance certification training,CONSULTING,J.Harrison
INV-1733,2024-05-09,General Business Solutions,21372.98,Miscellaneous expenses,SUPPLIES,S.Patel
INV-1450,2024-07-17,Unity Healthcare Partners,10321.69,Environmental compliance consulting services,CONSULTING,R.Novak
INV-1380,2024-09-26,Apex Technology Solutions,7964.91,Industry conference attendance — professional development,IT,M.Chen
INV-1484,2024-02-14,Silverstone IT Services,18484.51,SharePoint migration — intranet modernization,IT,A.Reeves
INV-1513,2024-11-17,Blue Ridge Analytics Group,16036.89,Annual security audit and penetration testing,CONSULTING,R.Novak
INV-1146,2024-05-04,Ironwood Engineering Corp,7936.52,Benefits administration platform — annual fee,OPERATIONS,M.Chen
INV-1406,2024-02-12,Westbrook Print & Media,2420.09,Financial audit preparation and documentation support,CONSULTING,R.Novak
INV-1567,2024-04-04,Lakeview Office Supplies Co,2167.65,Annual security audit and penetration testing,SUPPLIES,J.Harrison
INV-1382,2024-02-21,Ironwood Engineering Corp,5949.67,Data analytics platform subscription renewal,OPERATIONS,L.Torres
INV-1731,2024-09-15,General Business Solutions,10270.8,Various services,SUPPLIES,J.Harrison
INV-1021,2024-07-02,Delta Freight Services LLC,3943.21,Legal filing fees and court documentation costs,LOGISTICS,R.Novak
INV-1068,2024-08-27,Vanguard Analytics Inc,3071.57,Customs brokerage and import clearance fees,IT,M.Chen
INV-1013,2024-09-27,Westbrook Print & Media,1408.03,Database migration and cloud uplift services,MARKETING,J.Harrison
INV-1643,2024-07-11,Ironwood Engineering Corp,6561.75,Q1 consulting services — enterprise architecture,OPERATIONS,M.Chen
INV-1523,2024-06-14,Quantum Cloud Infrastructure,9138.92,Brand identity redesign — new product line,IT,S.Patel
INV-1148,2024-09-18,Quantum Cloud Infrastructure,16277.73,Office supplies and stationery restock,IT,J.Harrison
INV-1664,2024-04-05,Summit Financial Advisory,9225.48,Q1 consulting services — enterprise architecture,FINANCE,R.Novak
INV-1421,2024-01-24,Horizon Training Solutions,1332.77,Cybersecurity monitoring — 24/7 SOC retainer,CONSULTING,D.Okafor
INV-1743,2024-06-28,Summit Financial Advisors,85905.75,Software development sprint 18 — backend API,FINANCE,J.Harrison
INV-1703,2024-11-29,Cascade Digital Systems,1000.0,Annual security audit and penetration testing,IT,D.Okafor
INV-1521,2024-05-03,Cascade Digital Systems,8919.1,Annual maintenance and support contract renewal,IT,J.Harrison
INV-1573,2024-02-08,Delta Freight Services LLC,1691.01,Structural engineering assessment — building A,LOGISTICS,R.Novak
INV-1696,2024-06-07,Harbor Light Consulting,50000.0,Industry conference attendance — professional development,CONSULTING,A.Reeves
INV-1324,2024-10-14,Ridgeline Catering Co,2229.97,Warehouse storage and fulfillment services Q4,FACILITIES,M.Chen
INV-1315,2024-10-08,Quantum Cloud Infrastructure,7807.09,Structural engineering assessment — building A,OPERATIONS,D.Okafor
INV-1678,2024-06-18,Elmwood Graphics Studio,35000,Market research and competitive landscape analysis,MARKETING,S.Patel
INV-1156,2024-08-31,Eagle Eye Security Systems,3127.85,Insurance premium — commercial liability policy,SECURITY,S.Patel
INV-1266,2024-09-25,Horizon Training Solutions,2066.58,Firewall replacement and network segmentation,CONSULTING,J.Harrison
INV-1393,2024-03-09,Cascade Digital Systems,11459.44,Cloud hosting — production environment monthly,IT,M.Chen
INV-1615,2024-11-27,Frontier Logistics Partners,2084.14,Executive search — VP of Engineering placement,LOGISTICS,S.Patel
INV-1579,2024-09-08,Ridgeline Catering Co,1660.4,Executive search — VP of Engineering placement,FACILITIES,S.Patel
INV-1367,2024-10-13,Sunrise Fleet Management,3125.03,Industry conference attendance — professional development,LOGISTICS,A.Reeves
INV-1084,2024-04-06,Cascade Digital Systems,21762.21,Translation and localization services — APAC,IT,R.Novak
INV-1613,2024-11-07,Yellowstone Equipment Rental,7010.18,Gift cards — client appreciation,OPERATIONS,D.Okafor
INV-1612,2024-11-23,Meridian Legal Partners LLP,6552.04,Employee benefits consulting — open enrollment,LEGAL,A.Reeves
INV-1727,2024-07-20,Quick Pay Services,12144.9,Miscellaneous expenses,OPERATIONS,S.Patel
INV-1734,2024-01-25,Summit Financial Advisors,72122.26,Financial audit preparation and documentation support,FINANCE,M.Chen
INV-1094,2024-04-22,Horizon Training Solutions,1060.53,Market research and competitive landscape analysis,CONSULTING,D.Okafor
INV-1564,2024-07-15,Frontier Logistics Partners,5639.15,Financial audit preparation and documentation support,LOGISTICS,D.Okafor
INV-1694,2024-10-10,Ironwood Engineering Corp,25000.0,Equipment lease payment — fiscal Q3,OPERATIONS,L.Torres
INV-1516,2024-04-27,Sunrise Fleet Management,1272.18,Annual security audit and penetration testing,LOGISTICS,M.Chen
INV-1196,2024-04-18,Titan Security Services,4660.12,Annual security audit and penetration testing,SECURITY,A.Reeves
INV-1569,2024-03-05,Summit Financial Advisors,20255.61,Software development sprint 18 — backend API,MARKETING,J.Harrison
INV-1130,2024-01-24,Cascade Digital Systems,9859.83,Misc,IT,D.Okafor
INV-1479,2024-04-05,Apex Technology Solutions,7997.54,Annual maintenance and support contract renewal,IT,S.Patel
INV-1392,2024-11-11,Frontier Logistics Partners,732.87,Database migration and cloud uplift services,LOGISTICS,D.Okafor
INV-1044,2024-12-26,Summit Financial Advisors,15116.0,Freight and logistics — bulk shipment handling,MARKETING,R.Novak
INV-1690,2024-08-14,Cascade Digital Systems,5000.0,Cloud hosting — production environment monthly,IT,L.Torres
INV-1112,2024-08-11,Westbrook Print & Media,713.61,Legal retainer — contract review and advisory,MARKETING,M.Chen
INV-1108,2024-07-14,Ironwood Engineering Corp,7846.74,Employee benefits consulting — open enrollment,OPERATIONS,M.Chen
INV-1411,2024-07-02,Sterling Law Group,2891.57,Catering services — quarterly board meeting,LEGAL,D.Okafor
INV-1304,2024-09-24,Eagle Eye Security Systems,13068.34,Network infrastructure upgrade phase 2,SECURITY,R.Novak
INV-1052,2024-06-10,Meridian Legal Partners LLP,15320.23,Tax planning and financial advisory services,LEGAL,S.Patel
INV-1147,2024-11-06,Cascade Digital Systems,6126.94,Benefits administration platform — annual fee,FACILITIES,D.Okafor
INV-1030,2024-10-21,Titan Security Services,6807.33,Warehouse storage and fulfillment services Q4,SECURITY,A.Reeves
INV-1171,2024-11-25,Quantum Cloud Infrastructure,9628.62,Staff compliance certification training,IT,J.Harrison
INV-1570,2024-03-29,Frontier Logistics Partners,1605.44,SharePoint migration — intranet modernization,LOGISTICS,R.Novak
INV-1224,2024-08-10,Blue Ridge Analytics Group,14076.57,Emergency procurement,FINANCE,J.Harrison
INV-1368,2024-07-20,Blue Ridge Analytics Group,8080.92,Firewall replacement and network segmentation,CONSULTING,R.Novak
INV-1075,2024-10-21,Vanguard Analytics Inc,9918.78,Temporary staffing — operations peak period,FINANCE,S.Patel
INV-1248,2024-12-07,Cascade Digital Systems,12476.23,Warehouse storage and fulfillment services Q4,IT,R.Novak
INV-1244,2024-11-01,Northpoint Marketing Agency,9359.0,SharePoint migration — intranet modernization,MARKETING,R.Novak
INV-1676,2024-06-11,Westbrook Print & Media,31000,Employee benefits consulting — open enrollment,MARKETING,A.Reeves
INV-1628,2024-07-31,Ridgeline Catering Co,502.81,Personal expense reimbursement,FACILITIES,J.Harrison
INV-1286,2024-06-05,Apex Technology Solutions,27365.18,General expenses,IT,L.Torres
INV-1715,2024-05-22,Delta Freight Services LLC,49990.0,Equipment lease payment — fiscal Q3,LOGISTICS,A.Reeves
INV-1603,2024-10-20,Ironwood Engineering Corp,4339.42,Equipment lease payment — fiscal Q3,OPERATIONS,M.Chen
INV-1319,2024-09-02,Blue Ridge Analytics Group,13850.37,Monthly software license renewal,FACILITIES,S.Patel
INV-1110,2024-06-15,Northpoint Marketing Agency,10641.22,Network infrastructure upgrade phase 2,LOGISTICS,A.Reeves
INV-1528,2024-02-17,Ridgeline Catering Co,1289.39,Legal due diligence — acquisition target review,FACILITIES,D.Okafor
INV-1089,2024-06-12,Apex Technology Solutions,32814.9,Copier and printer lease — main office,IT,R.Novak
INV-1476,2024-09-23,Ironwood Engineering Corp,4134.48,Payroll processing services — monthly retainer,OPERATIONS,L.Torres
INV-1059,2024-11-18,Lakeview Office Supplies Co,468.69,Environmental compliance consulting services,SUPPLIES,A.Reeves
INV-1672-03,2024-08-03,Harbor Light Consulting,9649.98,Partial payment 3/3 — project milestone,CONSULTING,D.Okafor
INV-1237,2024-08-04,Meridian Legal Partners LLP,3814.74,Staff compliance certification training,SECURITY,D.Okafor
INV-1064,2024-01-08,Avalon Research Associates,8023.27,Facilities management — HVAC preventive maintenance,CONSULTING,A.Reeves
